State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"BOYLE, Norma",DLP,2866,4.7
NSW,Banks,"COSTA, Dominic",ALP,28748,47.5
NSW,Banks,"HATFIELD, Henry",CPA,1563,2.6
NSW,Banks,"TIBBEN, Herman",LP,27349,45.2
NSW,Barton,"ARTHUR, William",LP,23089,49.6
NSW,Barton,"BELLCHAMBERS, Edwin",IND,371,0.8
NSW,Barton,"KENNEDY, Phillip",DLP,1252,2.7
NSW,Barton,"REYNOLDS, Leonard",ALP,21818,46.9
NSW,Bennelong,"CONNOLLY, Edward",DLP,2672,5.1
NSW,Bennelong,"CRAMER, Hon Sir John",LP,31239,59.3
NSW,Bennelong,"O'DONNELL, Geoffrey",ALP,14987,28.4
NSW,Bennelong,"TURNER, Robert",LRG,3808,7.2
NSW,Blaxland,"HARRISON, James",ALP,24924,55.8
NSW,Blaxland,"KEENAN, Terence",DLP,2299,5.2
NSW,Blaxland,"LOVELL, Robert",LP,17411,39.0
NSW,Bradfield,"BRAMWELL, William",ALP,8698,15.4
NSW,Bradfield,"DWYER, Allan",DLP,3533,6.2
NSW,Bradfield,"TURNER, Henry",LP,44317,78.4
NSW,Calare,"ENGLAND, John",CP,25200,62.6
NSW,Calare,"GRANT, John",DLP,3053,7.6
NSW,Calare,"STAVERT, William",ALP,11985,29.8
NSW,Cowper,"GILLETT, Burwood",ALP,13044,33.7
NSW,Cowper,"ROBINSON, Ian",CP,24602,63.5
NSW,Cowper,"TREDINNICK, William",LRG,1076,2.8
NSW,Cunningham,"CONNOR, Rex",ALP,31986,54.5
NSW,Cunningham,"FENTON, Jeffrey",IND,354,0.6
NSW,Cunningham,"KEARNEY, Victor",IND,1951,3.3
NSW,Cunningham,"POEL, John",LP,23473,40.0
NSW,Cunningham,"WILDING, Reginald",CPA,977,1.7
NSW,Dalley,"KAVANAGH, John",DLP,2377,7.7
NSW,Dalley,"LEWIS, Elton",LP,9709,31.3
NSW,Dalley,"O'CONNOR, William",ALP,18938,61.0
NSW,Darling,"CLARK, Joseph",ALP,20848,60.3
NSW,Darling,"CONNELL, Allan",LP,13714,39.7
NSW,East Sydney,"ANTCLIFF, Melvyn",DLP,1807,6.4
NSW,East Sydney,"BERMAN, William",LP,10636,37.5
NSW,East Sydney,"BROWN, Wilton",CPA,940,3.3
NSW,East Sydney,"DEVINE, Leonard",ALP,15004,52.9
NSW,Eden-Monaro,"FRASER, Allan",ALP,19875,47.7
NSW,Eden-Monaro,"MUNRO, Dugald",LP,17024,40.8
NSW,Eden-Monaro,"MILLS, John",DLP,1177,2.8
NSW,Eden-Monaro,"PRATTEN, Anthony",CP,3618,8.7
NSW,Evans,"COLLINS, Francis",DLP,2071,5.6
NSW,Evans,"GUNN, John",LRG,1619,4.4
NSW,Evans,"MACKAY, Dr Malcolm",LP,20342,55.1
NSW,Evans,"MONAGHAN, James",ALP,12857,34.9
NSW,Farrer,"FAIRBAIRN, Hon David",LP,28700,66.6
NSW,Farrer,"KEOGH, James",DLP,4271,9.9
NSW,Farrer,"THOMSON, Alan",ALP,10151,23.5
NSW,Grayndler,"ANTCLIFFE, Lyle",DLP,1895,6.5
NSW,Grayndler,"DALY, Fred",ALP,17247,59.0
NSW,Grayndler,"MOTTERSHEAD, Basil",LP,10070,34.5
NSW,Gwydir,"ALLAN, Ian",CP,25184,61.3
NSW,Gwydir,"LANG, Reginald",ALP,15895,38.7
NSW,Hughes,"DOBIE, Donald",LP,37647,49.9
NSW,Hughes,"GOSLETT, William",DLP,1989,2.6
NSW,Hughes,"JOHNSON, Leslie",ALP,35793,47.5
NSW,Hume,"HOGAN, John",DLP,2825,7.3
NSW,Hume,"MENADUE, John",ALP,16189,42.1
NSW,Hume,"PETTITT, John",CP,19435,50.5
NSW,Hunter,"GILCHRIST, William",LP,9044,19.7
NSW,Hunter,"JAMES, Bert",ALP,33037,71.9
NSW,Hunter,"RICHARDS, Donald",DLP,3839,8.4
NSW,Kingsford-Smith,"CURTIN, Daniel",ALP,21859,50.5
NSW,Kingsford-Smith,"WAKE, Nancy",LP,19268,44.5
NSW,Kingsford-Smith,"WOODBURY, Cornelius",DLP,2193,5.1
NSW,Lang,"ATKINSON, Bernard",DLP,2450,5.5
NSW,Lang,"CRAWFORD, Graham",LP,19432,43.9
NSW,Lang,"STEWART, Frank",ALP,22417,50.6
NSW,Lawson,"CANOBI, John",ALP,14399,37.6
NSW,Lawson,"FAILES, Laurence",CP,21649,56.5
NSW,Lawson,"MORANDINI, Mario",DLP,2239,5.8
