State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"ARROW, Denise",IND,1939,3.3
NSW,Banks,"GIBSON, Maxwell",LP,26035,43.9
NSW,Banks,"MARTIN, Vincent",ALP,30617,51.7
NSW,Banks,"SKELTON, Ralph",IND,681,1.1
NSW,Barton,"BRADFIELD, James",LP,34209,53.5
NSW,Barton,"GAINSFORD, Murray",ALP,28179,44.1
NSW,Barton,"SHEAN, Maxwell",IND,868,1.4
NSW,Barton,"WILLARD, Clifford",AP,706,1.1
NSW,Bennelong,"ANLEZARK, John",IND,1195,1.8
NSW,Bennelong,"HOWARD, John",LP,39867,60.5
NSW,Bennelong,"JOHNSON, Brian",AP,1527,2.3
NSW,Bennelong,"WELSMAN, Noel",ALP,23319,35.4
NSW,Berowra,"EDWARDS, Dr Harold",LP,45355,68.4
NSW,Berowra,"HOWARD, Robert",IND,2406,3.6
NSW,Berowra,"ROSS, Michael",ALP,18530,28.0
NSW,Blaxland,"KEATING, Hon Paul",ALP,36338,59.8
NSW,Blaxland,"SYMES, Robert",IND,1463,2.4
NSW,Blaxland,"TOUMA, Joseph",LP,22957,37.8
NSW,Bradfield,"BROWN, Christopher",IND,2662,3.9
NSW,Bradfield,"CARMODY, John",ALP,12374,18.2
NSW,Bradfield,"CONNOLLY, David",LP,53135,77.9
NSW,Calare,"ASHTON, James",LP,14309,27.9
NSW,Calare,"HALL, Francis",ALP,18845,36.8
NSW,Calare,"MACKENZIE, Sandy",NCP,18106,35.3
NSW,Chifley,"ARMITAGE, John",ALP,48767,61.8
NSW,Chifley,"SOOKEE, Shirley",LP,30206,38.2
NSW,Cook,"AUSSIE-STONE, Marc",IND,376,0.6
NSW,Cook,"DOBIE, Hon Don",LP,34334,56.0
NSW,Cook,"GRAY, Marjorie",AP,714,1.2
NSW,Cook,"O'NEILL, Philip",IND,105,0.2
NSW,Cook,"SCHOLLBACH, Robert",IND,924,1.5
NSW,Cook,"THORBURN, Ray",ALP,24857,40.5
NSW,Cowper,"CLAGUE, Colin",ALP,18893,33.7
NSW,Cowper,"HOLCOMBE, John",IND,574,1.0
NSW,Cowper,"MCLACHLAN, John",IND,1662,3.0
NSW,Cowper,"ROBINSON, Hon Ian",NCP,34948,62.3
NSW,Cunningham,"CONNOR, Hon Rex",ALP,42350,61.7
NSW,Cunningham,"GROBEN, Bernard",IND,611,0.9
NSW,Cunningham,"ROBERTSON, Peter",IND,681,1.0
NSW,Cunningham,"SWAN, Peter",LP,24972,36.4
NSW,Darling,"FITZPATRICK, John",ALP,25579,56.8
NSW,Darling,"MILLER, Walter",IND,603,1.3
NSW,Darling,"MITCHELL, Walter",NCP,18874,41.9
NSW,Eden-Monaro,"DAWSON, Frederick",IND,993,1.6
NSW,Eden-Monaro,"MOORE, John",NCP,12008,19.6
NSW,Eden-Monaro,"SAINSBURY, Murray",LP,21661,35.3
NSW,Eden-Monaro,"WHAN, Robert",ALP,26669,43.5
NSW,Evans,"ABEL, John",LP,29762,51.1
NSW,Evans,"KEOGHAN, Frederick",IND,254,0.4
NSW,Evans,"MULDER, Allan",ALP,27357,46.9
NSW,Evans,"ROLL, Graham",AP,489,0.8
NSW,Evans,"WILSON, Warren",IND,421,0.7
NSW,Farrer,"BOWTELL, Kevin",NCP,10403,17.5
NSW,Farrer,"BRASSIL, Patrick",ALP,18100,30.4
NSW,Farrer,"DONELAN, Michael",AP,413,0.7
NSW,Farrer,"FIFE, Hon Wallace",LP,29570,49.7
NSW,Farrer,"QUINN, Anthony",DLP,519,0.9
NSW,Farrer,"ROBINSON, Arthur",IND,514,0.9
NSW,Grayndler,"DOWD, Peter",IND,1713,3.4
NSW,Grayndler,"FOWLER, Jonathan",LP,13790,27.4
NSW,Grayndler,"SHORTLAND, Graeme",IND,865,1.7
NSW,Grayndler,"SPEDDING, Douglas",IND,1596,3.2
NSW,Grayndler,"WHITLAM, Tony",ALP,32416,64.3
NSW,Gwydir,"BOURKE, Francis",ALP,18686,36.5
NSW,Gwydir,"HENNESSY, Norbert",IND,449,0.9
NSW,Gwydir,"HUNT, Hon Ralph",NCP,31779,62.0
NSW,Gwydir,"O'DONNELL, William",IND,331,0.6
NSW,Hughes,"JOHNSON, Hon Leslie",ALP,37000,59.3
NSW,Hughes,"LAW, Robert",LP,25362,40.7
NSW,Hume,"BRENNER, George",ALP,20925,43.0
NSW,Hume,"LUSHER, Stephen",NCP,27746,57.0
NSW,Hunter,"JAMES, Bert",ALP,43590,68.4
NSW,Hunter,"WALKER, Stephen",LP,20100,31.6
NSW,Kingsford-Smith,"BOWEN, Hon Lionel",ALP,35381,59.1
NSW,Kingsford-Smith,"CONFOS, Nicholas",IND,1499,2.5
NSW,Kingsford-Smith,"CONNORS, Desmond",LP,22955,38.4
NSW,Lang,"AUSSIE-STONE, Marc",IND,960,1.7
NSW,Lang,"CARRUTHERS, Donald",LP,22793,39.3
NSW,Lang,"MORGAN, Douglas",IND,1402,2.4
NSW,Lang,"STEWART, Hon Frank",ALP,31960,55.1
NSW,Lang,"STEWART, John",IND,871,1.5
NSW,Lowe,"BROS, Clifford",AP,1039,1.8
NSW,Lowe,"DOIG, Benjamin",IND,362,0.6
NSW,Lowe,"HYDE, Robert",ALP,22299,38.8
NSW,Lowe,"KICHNO, Andris",IND,626,1.1
NSW,Lowe,"MCMAHON, Rt Hon William",LP,32908,57.3
NSW,Lowe,"POULSEN, Bent",IND,168,0.3
NSW,Lyne,"LANGFORD, Bruce",ALP,18377,31.0
NSW,Lyne,"LUCOCK, Philip",NCP,35554,60.0
NSW,Lyne,"SIMPSON, Peter",IND,5362,9.0
NSW,Macarthur,"BARROS, Ramon",IND,2213,2.7
NSW,Macarthur,"BAUME, Michael",LP,41341,51.3
