State,Division,Candidate,Party,Votes,Percent
NSW,Barton,"LEY, Hon Thomas",NAT,25070,43.7
NSW,Barton,"TULLY, James",ALP,32316,56.3
NSW,Calare,"HOWSE, Hon Sir Neville",NAT,22673,60.7
NSW,Calare,"O'DONNELL, James",ALP,14664,39.3
NSW,Cook,"EARL, Humphrey",NAT,9197,24.5
NSW,Cook,"RILEY, Edward",ALP,28326,75.5
NSW,Cowper,"PAGE, Rt Hon Dr Earle",CP,27556,76.8
NSW,Cowper,"SWINEY, Thomas",ALP,8336,23.2
NSW,Dalley,"GARDINER, Hon Albert",IND,5888,15.5
NSW,Dalley,"ROGERS, Hedley",NAT,7704,20.3
NSW,Dalley,"THEODORE, Hon Edward",ALP,24328,64.2
NSW,East Sydney,"SIMPSON, Julian",NAT,13994,41.6
NSW,East Sydney,"WEST, John",ALP,19651,58.4
NSW,Eden-Monaro,"CUSACK, John",ALP,15590,42.4
NSW,Eden-Monaro,"PERKINS, John",NAT,21158,57.6
NSW,Gwydir,"ABBOTT, Aubrey",CP,18959,52.3
NSW,Gwydir,"CUNNINGHAM, Lou",ALP,17266,47.7
NSW,Hume,"FLEMING, William",CP,10797,27.3
NSW,Hume,"GARRY, John",NAT,7906,20.0
NSW,Hume,"MOLONEY, Parker",ALP,20852,52.7
NSW,Hunter,"BROWN, James",IND,8073,17.7
NSW,Hunter,"CARR, Ernest",NAT,9145,20.1
NSW,Hunter,"JAMES, Rowland",ALP,28331,62.2
NSW,Lang,"JOHNSON, Hon Sir Elliot",NAT,19082,46.5
NSW,Lang,"LONG, William",ALP,21918,53.5
NSW,Macquarie,"CHIFLEY, Ben",ALP,20155,54.9
NSW,Macquarie,"MANNING, Arthur",NAT,16577,45.1
NSW,Martin,"HANNETT, Percy",ALP,23631,43.1
NSW,Martin,"PRATTEN, Graham",NAT,31166,56.9
NSW,New England,"THOMPSON, Victor",CP,Unopposed,100.0
NSW,Newcastle,"SKELTON, Walter",IND,20212,42.9
NSW,Newcastle,"WATKINS, Hon David",ALP,26952,57.1
NSW,North Sydney,"HOWE, Benjamin",ALP,16736,33.8
NSW,North Sydney,"HUGHES, Rt Hon Billy",NAT,32734,66.2
NSW,Parkes,"MARR, Hon Charles",NAT,28798,57.4
NSW,Parkes,"SHERRINGHAM, George",ALP,21343,42.6
NSW,Parramatta,"BOWDEN, Hon Eric",NAT,30867,60.1
NSW,Parramatta,"ROWE, Albert",ALP,20492,39.9
NSW,Reid,"COLEMAN, Percy",ALP,40495,66.1
NSW,Reid,"TOMLINSON, George",NAT,20761,33.9
NSW,Richmond,"GREEN, Roland",CP,Unopposed,100.0
NSW,Riverina,"CASSERLY, Joseph",ALP,16538,42.5
NSW,Riverina,"KILLEN, William",CP,22377,57.5
NSW,Robertson,"GARDNER, Sydney",NAT,Unopposed,100.0
NSW,South Sydney,"BAKER, George",NAT,21874,45.8
NSW,South Sydney,"RILEY, Edward",ALP,25915,54.2
NSW,Warringah,"PARKHILL, Archdale",NAT,Unopposed,100.0
NSW,Wentworth,"MARKS, Walter",NAT,29639,61.5
NSW,Wentworth,"O'HALLORAN, Robert",ALP,18539,38.5
NSW,Werriwa,"LAZZARINI, Hubert",ALP,24842,61.7
NSW,Werriwa,"OGILVIE, Herbert",NAT,15407,38.3
NSW,West Sydney,"BEASLEY, Jack",ALP,25286,81.7
NSW,West Sydney,"BENJAMIN, Alfred",NAT,5649,18.3
VIC,Balaclava,"PRICE, Edward",IND,18651,36.8
VIC,Balaclava,"WATT, Rt Hon William",NAT,31977,63.2
VIC,Ballaarat,"BAIRD, Matthew",NAT,17616,47.4
VIC,Ballaarat,"MCGRATH, Charles",ALP,19528,52.6
VIC,Batman,"BRENNAN, Frank",ALP,37947,63.8
VIC,Batman,"MCDONALD, Angus",NAT,21512,36.2
VIC,Bendigo,"HURRY, Geoffry",NAT,14074,37.6
VIC,Bendigo,"JAMES, Cyril",CP,7489,20.0
VIC,Bendigo,"MCDONALD, James",ALP,15849,42.4
VIC,Bourke,"ANSTEY, Frank",ALP,36835,68.7
VIC,Bourke,"SMITH, Leonard",NAT,16797,31.3
