State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"MELHAM, Daryl",ALP,34835,41.0
NSW,Banks,"WELLHAM, Jake",PUP,2125,2.5
NSW,Banks,"KHEDR, Sayed",IND,768,0.9
NSW,Banks,"RICHARDSON, Ross",KAP,553,0.7
NSW,Banks,"SPIGHT, Paul",GRN,4242,5.0
NSW,Banks,"FALANGA, Mark",CDP,1983,2.3
NSW,Banks,"HADDAD, Robert",DLP,470,0.6
NSW,Banks,"COLEMAN, David",LP,39899,47.0
NSW,Barton,"CARUANA, Edward",PUP,3114,3.9
NSW,Barton,"VARVARIS, Nickolas",LP,33881,42.4
NSW,Barton,"NAGI, Michael",IND,3071,3.8
NSW,Barton,"THEO, Perry",ON,686,0.9
NSW,Barton,"MCMAHON, Steve",ALP,32345,40.4
NSW,Barton,"FRENCH, Kylie",CDP,1549,1.9
NSW,Barton,"BROOKER, Jackie",GRN,4788,6.0
NSW,Barton,"WISE, Rodney",KAP,567,0.7
NSW,Bennelong,"PETERS, Lindsay",GRN,7454,8.4
NSW,Bennelong,"LI, Jason Yat-Sen",ALP,28726,32.5
NSW,Bennelong,"WORSLEY, Julie",CDP,2135,2.4
NSW,Bennelong,"MARKS, Robert",PUP,1589,1.8
NSW,Bennelong,"MCCAFFREY, Lachlan",DLP,617,0.7
NSW,Bennelong,"ALEXANDER, John",LP,46907,53.0
NSW,Bennelong,"AUGUST, John",IND,602,0.7
NSW,Bennelong,"WATERSON, Victor",IND,492,0.6
NSW,Berowra,"GALLAGHER, Mick",IND,3374,3.9
NSW,Berowra,"THEW, Leighton",CDP,2135,2.5
NSW,Berowra,"STOREY, John",GRN,8684,10.0
NSW,Berowra,"SMYTHE, Deborah",IND,492,0.6
NSW,Berowra,"RUDDOCK, Hon Philip",LP,53236,61.4
NSW,Berowra,"GRAVES, Paul",PUP,2324,2.7
NSW,Berowra,"STOVE, Michael",ALP,16402,18.9
NSW,Blaxland,"TALEB, Nafez",KAP,1921,2.5
NSW,Blaxland,"KHOURI, Athony",LP,25579,32.7
NSW,Blaxland,"BURROWS, Zali",PUP,2119,2.7
NSW,Blaxland,"CLARE, Hon Jason",ALP,43568,55.7
NSW,Blaxland,"NASR, Juliat",CDP,1757,2.3
NSW,Blaxland,"KY, John",GRN,2416,3.1
NSW,Blaxland,"ZALLOUA, Boutros",DLP,817,1.1
NSW,Bradfield,"BUCHANAN, Blake",PUP,2366,2.7
NSW,Bradfield,"HARROLD, Paul",DLP,992,1.1
NSW,Bradfield,"ARCHER, John",CDP,1671,1.9
NSW,Bradfield,"HAVILAND, Chris",ALP,14720,16.6
NSW,Bradfield,"FLETCHER, Paul",LP,57506,64.8
NSW,Bradfield,"MCINNES, Pippa",GRN,11429,12.9
NSW,Calare,"COBB, Hon John",NAT,52650,57.7
NSW,Calare,"KIRKLAND, Billie",KAP,1293,1.4
NSW,Calare,"LYONS, Ian",CDP,1628,1.8
NSW,Calare,"JENNINGS, Jess",ALP,23185,25.4
NSW,Calare,"MACGREGOR, Ross",IND,2388,2.6
NSW,Calare,"CAIN, Brian",PUP,4356,4.8
NSW,Calare,"MALLARD, David",GRN,4054,4.4
NSW,Calare,"CRAIG, Anthony",DLP,759,0.8
NSW,Calare,"SCHULTZE, Peter",IND,1010,1.1
NSW,Charlton,"CONROY, Pat",ALP,40125,46.4
NSW,Charlton,"BAKER, Kevin",LP,24646,28.5
NSW,Charlton,"CAMILLERI, Steve",CDP,2671,3.1
NSW,Charlton,"KOCHER, Dessie",GRN,5820,6.7
NSW,Charlton,"BURSTON, Brian",ON,2266,2.6
NSW,Charlton,"REID, Bronwyn",PUP,9412,10.9
NSW,Charlton,"ANTHONEY, Trevor",IND,1460,1.7
NSW,Chifley,"KHAN, Amar",IND,1749,2.1
NSW,Chifley,"HUSIC, Hon Ed",ALP,43044,52.3
NSW,Chifley,"WHITE, Isabelle",LP,26479,32.2
NSW,Chifley,"WRIGHT, Michael",DLP,810,1.0
NSW,Chifley,"VINCENT, Dave",CDP,2862,3.5
NSW,Chifley,"NORWICK, Alex",IND,396,0.5
NSW,Chifley,"HAMMOND, Ben",GRN,2198,2.7
NSW,Chifley,"POWER, Elizabeth",ON,1402,1.7
NSW,Chifley,"BUTTEL, Christopher",PUP,3361,4.1
NSW,Cook,"SCAYSBROOK, Peter",ALP,22850,24.8
NSW,Cook,"PALISE, Matthew",PUP,3765,4.1
NSW,Cook,"SMITH, Beth",CDP,1981,2.2
NSW,Cook,"SALEAM, Jim",IND,617,0.7
NSW,Cook,"COX, Mithra",GRN,6058,6.6
NSW,Cook,"MORRISON, Scott",LP,55707,60.4
NSW,Cook,"STRANG, Graeme",IND,1321,1.4
NSW,Cowper,"VERNON, Carol",GRN,10685,12.4
NSW,Cowper,"MCALPINE, Bethany",CDP,2224,2.6
NSW,Cowper,"HARTSUYKER, Luke",NAT,45820,53.1
NSW,Cowper,"JEANNERET, Rodney",PUP,5739,6.6
NSW,Cowper,"NAVARRO, Alfredo",ALP,21910,25.4
NSW,Cunningham,"CLIFFORD, Philip",LP,30685,33.7
NSW,Cunningham,"ATLEE, Christopher",PUP,4253,4.7
NSW,Cunningham,"WILSON, Helen",GRN,10730,11.8
NSW,Cunningham,"GEORGE, Rob",CDP,2204,2.4
NSW,Cunningham,"BIRD, Hon Sharon",ALP,41522,45.5
NSW,Cunningham,"BURSILL, John",KAP,886,1.0
NSW,Cunningham,"FLANAGAN, John",IND,897,1.0
NSW,Dobell,"OWEN, Greg",IND,711,0.8
NSW,Dobell,"THOMSON, Craig",IND,3444,4.0
NSW,Dobell,"KUNDE, Christian",IND,622,0.7
NSW,Dobell,"MCBRIDE, Emma",ALP,30248,35.1
NSW,Dobell,"BRACKEN, Nathan",IND,7090,8.2
NSW,Dobell,"MCGILL, Kate",PUP,2920,3.4
NSW,Dobell,"ERVIN, Hedden",CDP,1250,1.5
NSW,Dobell,"MCNAMARA, Karen",LP,35617,41.4
NSW,Dobell,"WYNN, Sue",GRN,4238,4.9
NSW,Eden-Monaro,"HENDY, Dr Peter",LP,40431,45.3
NSW,Eden-Monaro,"TYE, Martin",IND,601,0.7
NSW,Eden-Monaro,"KELLY, Hon Dr Mike",ALP,34638,38.8
NSW,Eden-Monaro,"LYNCH, Dean",PUP,4655,5.2
NSW,Eden-Monaro,"MOORE, Catherine",GRN,6725,7.5
NSW,Eden-Monaro,"GOUMAS, Costas",IND,179,0.2
NSW,Eden-Monaro,"THALER, Andrew",IND,1223,1.4
NSW,Eden-Monaro,"CATTON, Warren",CDP,861,1.0
NSW,Farrer,"DAVIS, Narelle",IND,1646,2.0
NSW,Farrer,"CATTELL, Brendan",DLP,1509,1.8
