State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"CLANCY, Patrick",CPA,2908,5.2
NSW,Banks,"COSTA, Dominic",ALP,34241,61.4
NSW,Banks,"STALKER, Harold",LP,18589,33.4
NSW,Barton,"ARTHUR, William",LP,19260,45.3
NSW,Barton,"EVATT, Rt Hon Dr Herbert",ALP,23303,54.7
NSW,Bennelong,"CRAMER, John",LP,24338,57.1
NSW,Bennelong,"CAMPBELL, Thomas",ALP,18263,42.9
NSW,Blaxland,"ALLSOP, Reginald",LP,13604,32.0
NSW,Blaxland,"HARRISON, James",ALP,27621,64.9
NSW,Blaxland,"HUGHES, Jack",CPA,1308,3.1
NSW,Bradfield,"TURNER, Henry",LP,Unopposed,100.0
NSW,Calare,"BREEN, John",ALP,16872,43.2
NSW,Calare,"HOWSE, John",LP,21733,55.7
NSW,Calare,"ROBERTS, Madge",IND,447,1.1
NSW,Cook,"HATFIELD, Henry",CPA,2465,7.7
NSW,Cook,"SHEEHAN, Thomas",ALP,26841,83.4
NSW,Cook,"STAINES, Percival",IND,2868,8.9
NSW,Cowper,"BAILEY, William",ALP,14751,39.8
NSW,Cowper,"HARDING, Kenneth",CPA,503,1.4
NSW,Cowper,"PAGE, Rt Hon Sir Earle",CP,21767,58.8
NSW,Cunningham,"DAVIES, Billy",ALP,27383,62.1
NSW,Cunningham,"PARKINSON, John",LP,14067,31.9
NSW,Cunningham,"PARKINSON, William",CPA,2644,6.0
NSW,Dalley,"DAVIS, Florence",CPA,1803,5.3
NSW,Dalley,"GREENUP, Arthur",ALP,24292,71.6
NSW,Dalley,"STAFFORD, Robert",LP,7810,23.0
NSW,Darling,"CLARK, Joseph",ALP,23875,70.5
NSW,Darling,"DAWSON, Rodan",CP,10012,29.5
NSW,East Sydney,"BROWN, Wilton",CPA,1904,5.7
NSW,East Sydney,"CHAMBERS, George",LP,12068,36.3
NSW,East Sydney,"WARD, Hon Eddie",ALP,19282,58.0
NSW,Eden-Monaro,"BEAVIS, Royce",LP,19149,47.9
NSW,Eden-Monaro,"FRASER, Allan",ALP,20824,52.1
NSW,Evans,"BAILEY, Robert",ALP,15876,45.0
NSW,Evans,"OSBORNE, Frederick",LP,19413,55.0
NSW,Farrer,"BYRNES, Daniel",ALP,17005,42.9
NSW,Farrer,"FAIRBAIRN, David",LP,22668,57.1
NSW,Grayndler,"DALY, Fred",ALP,26495,76.8
NSW,Grayndler,"INNES, Kenneth",LP,7288,21.1
NSW,Grayndler,"MCCRISTAL, Timothy",IND,702,2.0
NSW,Gwydir,"ALLAN, Ian",CP,20101,53.1
NSW,Gwydir,"QUINN, Michael",ALP,17731,46.9
NSW,Hume,"ANDERSON, Charles",CP,12459,32.0
NSW,Hume,"FULLER, Arthur",ALP,19617,50.4
NSW,Hume,"ROTH, Linden",LP,6845,17.6
NSW,Hunter,"FARRELL, Edward",LP,8380,19.0
NSW,Hunter,"JAMES, Rowland",ALP,29637,67.1
NSW,Hunter,"MCCROAREY, John",IND,2594,5.9
NSW,Hunter,"PHILLIPS, Evan",CPA,2710,6.1
NSW,Hunter,"WHITE, John",IND,875,2.0
NSW,Kingsford-Smith,"ANDERSON, Gordon",ALP,18302,54.2
NSW,Kingsford-Smith,"DAN, George",LP,15435,45.8
