State,Division,Candidate,Party,Votes,Percent
NSW,Barton,"EVATT, Rt Hon Dr Herbert",ALP,48740,66.9
NSW,Barton,"HOHNEN, George",LP,24064,33.1
NSW,Calare,"BREEN, John",ALP,22988,47.2
NSW,Calare,"HOWSE, John",LP,14270,29.3
NSW,Calare,"ROBERTS, Madge",IND,296,0.6
NSW,Calare,"THORBY, Hon Harold",CP,11189,23
NSW,Cook,"BRITTAIN, Arthur",ALPN,8423,14.3
NSW,Cook,"FAIRBROTHER, Frederick",IND,559,0.9
NSW,Cook,"PREACHER, Frank",LP,7306,12.4
NSW,Cook,"SHARKEY, Lance",CPA,4341,7.4
NSW,Cook,"SHEEHAN, Thomas",ALP,38407,65.1
NSW,Cowper,"MITCHELL, George",ALP,21253,38.2
NSW,Cowper,"PAGE, Rt Hon Sir Earle",CP,31785,57.2
NSW,Cowper,"WILLIAMS, Richard",IND,2544,4.6
NSW,Dalley,"FALVEY, Kenneth",ALPN,7549,12.4
NSW,Dalley,"ROSEVEAR, Hon Sol",ALP,38571,63.4
NSW,Dalley,"WEBSTER, Leslie",LP,14674,24.1
NSW,Darling,"CLARK, Joseph",ALP,27449,60.7
NSW,Darling,"GLASSOP, Cyril",IND,5533,12.2
NSW,Darling,"MCGIRR, John",CP,12229,27
NSW,East Sydney,"CAMPBELL, John",IND,3578,6.2
NSW,East Sydney,"DOUGHERTY, Ivan",LP,16348,28.3
NSW,East Sydney,"WARD, Hon Eddie",ALP,37863,65.5
NSW,Eden-Monaro,"BACKHOUSE, Allan",CP,2883,5.7
NSW,Eden-Monaro,"BROWN, Victor",IND,322,0.6
NSW,Eden-Monaro,"FRASER, Allan",ALP,25231,50.2
NSW,Eden-Monaro,"MACARTHUR-ONSLOW, Denzil",LP,18560,36.9
NSW,Eden-Monaro,"OSBORNE, Pat",CP,3292,6.5
NSW,Gwydir,"CAMPBELL, William",IND,2661,5.8
NSW,Gwydir,"CARMODY, Tom",IND,914,2
NSW,Gwydir,"MCDONALD, George",IND,381,0.8
NSW,Gwydir,"MORT, Thomas",LP,1689,3.7
NSW,Gwydir,"NOTT, Kevin",IND,322,0.7
NSW,Gwydir,"SCULLY, Hon William",ALP,22434,48.7
NSW,Gwydir,"TRELOAR, Thomas",CP,16313,35.4
NSW,Gwydir,"WADE, Benjamin",IND,1350,2.9
NSW,Hume,"DAVEY, Geoffrey",LP,7397,14.3
NSW,Hume,"FULLER, Arthur",ALP,26720,51.8
NSW,Hume,"MCDONALD, Warren",CP,17474,33.9
NSW,Hunter,"CAIN, John",ALPN,3392,5.8
NSW,Hunter,"FLETCHER, Edward",LP,10208,17.3
NSW,Hunter,"JAMES, Rowland",ALP,45366,76.9
NSW,Lang,"BELL, Sidney",ALPN,4995,6.8
NSW,Lang,"MULCAHY, Daniel",ALP,37918,51.7
NSW,Lang,"OGSTON, Adam",CPA,5508,7.5
NSW,Lang,"PAGET, John",LP,24963,34
NSW,Macquarie,"CHIFLEY, Rt Hon Ben",ALP,33412,58.4
NSW,Macquarie,"SPOONER, Hon Eric",LP,17106,29.9
NSW,Macquarie,"SUTTON, John",IND,1344,2.3
NSW,Macquarie,"WILLIAMS, Cecil",CP,5342,9.3
NSW,Martin,"DALY, Fred",ALP,35998,55
NSW,Martin,"JACOBS, Frederick",LP,29507,45
NSW,New England,"ABBOTT, Hon Joseph",CP,29664,60.6
NSW,New England,"CUTHBERTSON, Leigh",ALP,19310,39.4
NSW,Newcastle,"BLAND, Grahame",IND,1466,2.3
NSW,Newcastle,"CLARKE, Arthur",IND,360,0.6
NSW,Newcastle,"DARK, Edwin",IND,923,1.4
NSW,Newcastle,"DEACON, Stanley",CPA,4616,7.1
NSW,Newcastle,"DICKER, Charles",ALPN,2474,3.8
NSW,Newcastle,"ELLIS, Harry",IND,336,0.5
NSW,Newcastle,"FAIRHALL, Allen",LP,15124,23.3
