State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"COLEMAN, Hon David",LP,46709,50.9
NSW,Banks,"DRAGONE, Gianluca",GRN,5339,5.8
NSW,Banks,"GAMBIAN, Chris",ALP,33341,36.6
NSW,Banks,"WRIGHT, Reginald",UAP,2029,2.2
NSW,Banks,"THAKUR, Anjali",AJP,1688,1.8
NSW,Banks,"HO, Ki Man",CDP,2624,2.9
NSW,Barton,"BURNEY, Hon Linda",ALP,44227,49.2
NSW,Barton,"SHRESTHA, Pramej",LP,30109,33.5
NSW,Barton,"LIU, Ben",UAP,2057,2.3
NSW,Barton,"SUSILO, Sonny",CDP,2103,2.3
NSW,Barton,"PARISSIS, Connor",GRN,8123,9
NSW,Barton,"POLLARD, Phillip",PHON,3288,3.7
NSW,Bennelong,"AM, Dr Brian Owler",ALP,32769,34
NSW,Bennelong,"MARKS, Andrew",UAP,1890,2
NSW,Bennelong,"ALEXANDER, John",LP,48942,50.8
NSW,Bennelong,"ZHANG, Qiu Yue",GRN,9116,9.5
NSW,Bennelong,"WORSLEY, Julie",CDP,3588,3.7
NSW,Berowra,"TAN, Monica",GRN,11157,11.9
NSW,Berowra,"LEESER, Julian",LP,53741,57.2
NSW,Berowra,"MCLACHLAN, Craig",UAP,1576,1.7
NSW,Berowra,"CLARKE, Brendan",IND,1465,1.6
NSW,Berowra,"TAYLOR, Simon",CDP,2163,2.3
NSW,Berowra,"WOODWARD, Roger",IND,495,0.5
NSW,Berowra,"GALLAGHER, Mick",IND,2104,2.2
NSW,Berowra,"GOMPERTZ, Katie",ALP,19821,21.1
NSW,Berowra,"THOMAS, Justin",IND,1425,1.5
NSW,Blaxland,"ROWE, Veronica",CDP,4173,5.2
NSW,Blaxland,"GUNEY, Oz",LP,23289,28.8
NSW,Blaxland,"CLARE, Hon Jason",ALP,46689,57.8
NSW,Blaxland,"ASHRAF, Nadeem",UAP,2328,2.9
NSW,Blaxland,"ROONEY, James",GRN,4329,5.4
NSW,Bradfield,"ADAMS, Tony",GRN,13177,13.7
NSW,Bradfield,"FLETCHER, Hon Paul",LP,58007,60.3
NSW,Bradfield,"VERSACE, Marcus",UAP,1772,1.8
NSW,Bradfield,"MOLLOY, Stephen",IND,2826,2.9
NSW,Bradfield,"HAVILAND, Chris",ALP,20361,21.2
NSW,Calare,"ROMANO, Sam",SFF,18129,17.4
NSW,Calare,"CHEN, Shuyi",CDP,1992,1.9
NSW,Calare,"JENNINGS, Dr Jess",ALP,23074,22.1
NSW,Calare,"CAMERON, Beverley",UAP,3371,3.2
NSW,Calare,"GEE, Hon Andrew",NAT,46632,44.7
NSW,Calare,"BISGROVE, Stephen",LDP,4775,4.6
NSW,Calare,"LUKE, Stephanie",GRN,6315,6.1
NSW,Chifley,"GREEN, Josh",CDP,5859,6.4
NSW,Chifley,"KHAN, Amar Aziz",IND,1581,1.7
NSW,Chifley,"O'CONNOR, Joseph",UAP,4133,4.5
NSW,Chifley,"ROBERTSON, Brent",GRN,4604,5.1
NSW,Chifley,"CHETTIPALLY, Livingston",LP,25411,27.9
NSW,Chifley,"HUSIC, Hon Ed",ALP,49418,54.3
NSW,Cook,"MORRISON, Hon Scott",LP,59895,63.7
NSW,Cook,"KELLY, Peter",FACNP,551,0.6
NSW,Cook,"O'BRIEN, Simon",ALP,21718,23.1
NSW,Cook,"CAMERON, Gaye",PHON,3277,3.5
NSW,Cook,"DOIG, Jonathan",GRN,6406,6.8
NSW,Cook,"BOLLING, Roger",CDP,1041,1.1
NSW,Cook,"MCSWEYN, John",UAP,1135,1.2
NSW,Cowper,"MEADS, Ruth",CDP,2383,2.3
NSW,Cowper,"CONAGHAN, Pat",NAT,49668,47.1
NSW,Cowper,"STEWART, Alexander",UAP,3188,3
NSW,Cowper,"WOODWARD, Andrew",ALP,14551,13.8
NSW,Cowper,"OAKESHOTT, Rob",IND,25847,24.5
NSW,Cowper,"EDWARDS, Lauren",GRN,6264,5.9
NSW,Cowper,"PEARCE, Kellie",AJP,2176,2.1
NSW,Cowper,"GREEN, Allan",IND,1451,1.4
NSW,Cunningham,"ATLEE, Chris",LP,31177,31
NSW,Cunningham,"HUXTABLE, Rowan",GRN,15196,15.1
NSW,Cunningham,"BIRD, Hon Sharon",ALP,46923,46.6
NSW,Cunningham,"FLANAGAN, John",IND,1213,1.2
NSW,Cunningham,"GILL, John",IND,2340,2.3
NSW,Cunningham,"YOUNGER, Grace",UAP,3828,3.8
NSW,Dobell,"HARPLEY-CARR, Aaron",UAP,5411,5.3
NSW,Dobell,"GRUNDY, Paula",CDP,1868,1.8
NSW,Dobell,"PILLON, Jilly",LP,41326,40.7
NSW,Dobell,"RICKARD, Scott",GRN,7579,7.5
NSW,Dobell,"MCBRIDE, Emma",ALP,42093,41.5
NSW,Dobell,"STEPHENSON, Gregory",IND,3176,3.1
NSW,Eden-Monaro,"KELLY, Hon Dr Mike",ALP,38878,39.2
NSW,Eden-Monaro,"KOTVOJS, Dr Fiona",LP,36732,37
NSW,Eden-Monaro,"MCGINLAY, Patrick",GRN,8715,8.8
NSW,Eden-Monaro,"SHELDON, David",IND,2247,2.3
NSW,Eden-Monaro,"WADE, Sophie",NAT,6899,7
NSW,Eden-Monaro,"HARRIS, Thomas",CDP,1157,1.2
NSW,Eden-Monaro,"SINGH, Chandra",UAP,2748,1.8
NSW,Eden-Monaro,"HOLGATE, James",IND,1883,1.9
NSW,Farrer,"LEY, Hon Sussan",LP,49316,50.7
NSW,Farrer,"HAMILTON, Ross",IND,1429,1.5
NSW,Farrer,"DRABSCH, Kieran",ALP,14236,14.6
NSW,Farrer,"MACK, Kevin",IND,19926,20.5
NSW,Farrer,"LANGFIELD, Philip",CDP,1327,1.4
NSW,Farrer,"ELLIS, Mark",LDP,1084,1.1
NSW,Farrer,"MILLS, Brian",IND,1255,1.3
NSW,Farrer,"ROSE, Mike",UAP,3898,4.2
NSW,Farrer,"MOSS, Dean",GRN,4147,4.3
NSW,Fowler,"MOCANU, Francesca",CDP,4643,5.6
NSW,Fowler,"HAYES, Chris",ALP,45627,54.5
NSW,Fowler,"JABBOUR, Joshua",UAP,3624,4.3
NSW,Fowler,"LEE, Seamus",GRN,4633,5.5
NSW,Fowler,"BLEWETT, Wayne",LP,25137,30.1
NSW,Gilmore,"MCCALLUM, Carmel",GRN,10740,10
NSW,Gilmore,"SCHULTZ, Grant",IND,7585,7
NSW,Gilmore,"LESLIGHT, Milton",UAP,3638,3.4
NSW,Gilmore,"PHILLIPS, Fiona",ALP,38972,36.2
NSW,Gilmore,"KOLUKUPALLY, Serah",CDP,1853,1.7
NSW,Gilmore,"HODGKINSON, Hon Katrina",NAT,13462,12.5
NSW,Gilmore,"MUNDINE, Warren",LP,31427,29.2
NSW,Grayndler,"MORELLO, Majella",IND,2613,2.7
NSW,Grayndler,"HENDERSON, Derek",LP,20846,21.7
NSW,Grayndler,"KING-OSBORN, Paris",UAP,1155,1.2
NSW,Grayndler,"CASEY, Jim",GRN,21607,22.6
NSW,Grayndler,"ALBANESE, Hon Anthony",ALP,48728,50.9
NSW,Grayndler,"CAO, Gui Dong",CDP,865,0.9
NSW,Greenway,"MCFARLAND, Graham",IND,2072,2.2
NSW,Greenway,"ATKINS, Damien",GRN,5256,5.5
NSW,Greenway,"GREEN, Allan",LP,38759,40.6
NSW,Greenway,"ROWLAND, Michelle",ALP,43901,46
NSW,Greenway,"FEENEY, Scott",UAP,2853,3
NSW,Greenway,"RAJADURAI, Osbourn",CDP,2666,3
NSW,Hughes,"KELLY, Craig",LP,50763,53.2
NSW,Hughes,"SHAKESPEARE, Mitchell",GRN,6631,6.9
NSW,Hughes,"CONSTABLE, Gae",AJP,2439,2.6
NSW,Hughes,"KEEP, Terrance",UAP,2366,2.5
NSW,Hughes,"STEINWALL, Diedree",ALP,29088,30.5
NSW,Hughes,"BRYAN, Matt",IND,1988,2.1
NSW,Hughes,"LIU, Leo-Ning",CDP,2216,2.3
NSW,Hume,"CHAMPION, Aoife",ALP,27223,26.6
NSW,Hume,"ABDO, Lynda",UAP,4939,4.8
NSW,Hume,"HARGRAVES, Tanya",FACNP,2493,2.4
NSW,Hume,"TAYLOR, Hon Angus",LP,54589,53.3
NSW,Hume,"POWELL, David",GRN,5225,5.1
NSW,Hume,"KINGSTON, Huw",IND,6068,5.9
NSW,Hume,"NEBAUER, Ian",CDP,1906,1.9
NSW,Hunter,"BONDS, Stuart",PHON,22029,21.6
NSW,Hunter,"ANGUS, Josh",NAT,23942,23.5
NSW,Hunter,"MURPHY, James",AJP,3267,3.2
NSW,Hunter,"DAVIES, Paul",UAP,4407,4.3
NSW,Hunter,"MURRAY, Janet",GRN,7007,6.9
NSW,Hunter,"STRETTON, Richard",CDP,2356,2.3
NSW,Hunter,"FITZGIBBON, Hon Joel",ALP,38331,37.6
NSW,Hunter,"BODDY, Max",IND,687,0.7
NSW,Kingsford Smith,"CRUZ, James",GRN,11418,12.1
NSW,Kingsford Smith,"MANSON, Adrian",CDP,1359,1.4
NSW,Kingsford Smith,"THISTLETHWAITE, Hon Matt",ALP,42629,45.2
NSW,Kingsford Smith,"CAMPBELL, Petra",IND,1346,1.4
NSW,Kingsford Smith,"JANSSON, James",IND,1595,1.7
