State,Division,Candidate,Party,Votes,Percent
NSW,Barton,"ALLEN, Stanley",DSC,5562,9.7
NSW,Barton,"DONOVAN, John",ALP,23539,41.0
NSW,Barton,"LANE, Albert",UAP,28342,49.3
NSW,Calare,"FOLSTER, William",ALP,24114,47.8
NSW,Calare,"THORBY, Hon Harold",CP,26378,52.2
NSW,Cook,"GLASSOP, Cyril",IND,16125,29.7
NSW,Cook,"SHEEHAN, Thomas",ALP,38201,70.3
NSW,Cowper,"BRINDLEY, Abraham",ALP,18646,36.8
NSW,Cowper,"PAGE, Rt Hon Sir Earle",CP,32000,63.2
NSW,Dalley,"BROUGH, Arthur",UAP,23961,42.3
NSW,Dalley,"ROSEVEAR, Sol",ALP,32646,57.7
NSW,Darling,"CLARK, Joseph",ALP,32515,66.2
NSW,Darling,"HUIE, Alexander",IND,16581,33.8
NSW,East Sydney,"BUTTERELL, Arthur",UAP,20429,40.2
NSW,East Sydney,"GRANT, Thomas",IND,1603,3.2
NSW,East Sydney,"PHILLIPS, Louis",IND,348,0.7
NSW,East Sydney,"WARD, Eddie",ALP,28484,56.0
NSW,Eden-Monaro,"ALLEN, Claude",ALP,21299,42.5
NSW,Eden-Monaro,"PERKINS, Hon John",UAP,28872,57.5
NSW,Gwydir,"BATCHELOR, Ernest",CP,24679,47.6
NSW,Gwydir,"SCULLY, William",ALP,27140,52.4
NSW,Hume,"COLLINS, Thomas",CP,27784,54.1
NSW,Hume,"HOAD, James",ALP,23526,45.9
NSW,Hunter,"JAMES, Rowland",ALP,Unopposed,100.0
NSW,Lang,"CALMAN, Matthew",UAP,25547,45.3
NSW,Lang,"CARR, Ernest",DSC,2435,4.3
NSW,Lang,"MULCAHY, Daniel",ALP,28379,50.4
NSW,Macquarie,"LAWSON, John",UAP,26392,52.1
NSW,Macquarie,"LUCHETTI, Tony",ALP,24272,47.9
NSW,Martin,"CARRUTHERS, George",DSC,4009,7.3
NSW,Martin,"MCCALL, William",UAP,30971,56.1
NSW,Martin,"TAYLOR, Stanley",ALP,20186,36.6
NSW,New England,"CUTHBERTSON, Leigh",ALP,19196,39.0
NSW,New England,"THOMPSON, Victor",CP,29994,61.0
NSW,Newcastle,"WATKINS, David",ALP,44085,79.3
NSW,Newcastle,"SYKES, Hilton",DSC,11494,20.7
NSW,North Sydney,"CLAYDEN, Henry",ALP,16254,27.9
NSW,North Sydney,"HUGHES, Rt Hon Billy",UAP,38386,65.9
NSW,North Sydney,"MINAHAN, Percival",DSC,3568,6.1
