State,Division,Candidate,Party,Votes,Percent
NSW,Barrier,"CONSIDINE, Michael",ALP,9710,49.9
NSW,Barrier,"DOE, Brian",NAT,1004,5.2
NSW,Barrier,"LAWRENCE, Arthur",IND,8734,44.9
NSW,Calare,"LAVELLE, Thomas",ALP,12320,48.2
NSW,Calare,"PIGOTT, Henry",NAT,13222,51.8
NSW,Cook,"CATTS, James",ALP,18101,64.4
NSW,Cook,"SLEATH, Richard",NAT,9985,35.6
NSW,Cowper,"THOMSON, John",NAT,Unopposed,100.0
NSW,Dalley,"LANE, Albert",NAT,13352,46.0
NSW,Dalley,"MAHONY, William",ALP,15658,54.0
NSW,Darling,"BLAKELEY, Arthur",ALP,11523,53.3
NSW,Darling,"SPENCE, Hon William",NAT,10081,46.7
NSW,East Sydney,"WEST, John",ALP,Unopposed,100.0
NSW,Eden-Monaro,"BAILEY, John",ALP,9623,42.8
NSW,Eden-Monaro,"CHAPMAN, Hon Austin",NAT,12879,57.2
NSW,Gwydir,"LAST, Cecil",ALP,10239,43.5
NSW,Gwydir,"WEBSTER, Hon William",NAT,13275,56.5
NSW,Hume,"CRUICKSHANK, Robert",ALP,12732,48.1
NSW,Hume,"FALKINER, Franc",NAT,13714,51.9
NSW,Hunter,"CHARLTON, Matthew",ALP,13327,53.4
NSW,Hunter,"FERGUSON, William",NAT,11633,46.6
NSW,Illawarra,"BURNS, George",ALP,16243,45.7
NSW,Illawarra,"LAMOND, Hector",NAT,19301,54.3
NSW,Lang,"EVANS, Percy",ALP,14081,39.6
NSW,Lang,"JOHNSON, Hon Elliot",NAT,21495,60.4
NSW,Macquarie,"CARR, Ernest",NAT,13557,50.0
NSW,Macquarie,"NICHOLLS, Samuel",ALP,13566,50.0
NSW,Nepean,"ARTHUR, Thomas",ALP,14600,39.5
NSW,Nepean,"ORCHARD, Richard",NAT,22402,60.5
NSW,New England,"ABBOTT, Percy",NAT,Unopposed,100.0
NSW,Newcastle,"GRIFFITH, Arthur",NAT,12784,42.0
NSW,Newcastle,"WATKINS, Hon David",ALP,17643,58.0
NSW,North Sydney,"RYRIE, Granville",NAT,Unopposed,100.0
NSW,Parkes,"GOSLING, Mark",ALP,13982,34.6
NSW,Parkes,"SMITH, Hon Bruce",NAT,26432,65.4
NSW,Parramatta,"CONROY, Hon Alfred",IND,9551,26.2
NSW,Parramatta,"COOK, Rt Hon Joseph",NAT,26869,73.8
NSW,Richmond,"MASSY-GREENE, Walter",NAT,17732,75.2
NSW,Richmond,"STEELE, John",IND,5843,24.8
NSW,Riverina,"CHANTER, Hon John",NAT,14140,59.2
NSW,Riverina,"WILLIAMS, Arthur",IND,9726,40.8
NSW,Robertson,"FLEMING, William",NAT,12827,56.2
NSW,Robertson,"SEERY, Eva",ALP,10008,43.8
NSW,South Sydney,"KAY, Alick",NAT,9898,36.7
NSW,South Sydney,"RILEY, Edward",ALP,17056,63.3
NSW,Wentworth,"GREVILLE, Henrietta",ALP,10437,31.5
NSW,Wentworth,"KELLY, Hon William",NAT,22653,68.5
NSW,Werriwa,"CHRISTOPHER, John",ALP,13071,47.2
NSW,Werriwa,"LYNCH, John",NAT,14607,52.8
NSW,West Sydney,"GILLESPIE, Gideon",NAT,7389,33.5
NSW,West Sydney,"WALLACE, Cornelius",ALP,14664,66.5
VIC,Balaclava,"FOSTER, Alfred",ALP,11690,33.4
VIC,Balaclava,"WATT, Hon William",NAT,23308,66.6
VIC,Ballaarat,"MCGRATH, Charles",ALP,Unopposed,100.0
VIC,Batman,"BRENNAN, Frank",ALP,18868,60.9
VIC,Batman,"O'NEILL, Frederick",NAT,12098,39.1
VIC,Bendigo,"HAMPSON, Alfred",ALP,12091,42.6
VIC,Bendigo,"HUGHES, Rt Hon Billy",NAT,16272,57.4
VIC,Bourke,"ANSTEY, Frank",ALP,22814,54.5
VIC,Bourke,"MAY, Arthur",NAT,19033,45.5
VIC,Corangamite,"BENNETT, Christopher",ALP,12067,39.6
VIC,Corangamite,"MANIFOLD, Hon Chester",NAT,18432,60.4
