State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"NGUYEN, Huu Khoa",IND,1430,1.7
NSW,Banks,"NGUYEN, Don",IND,492,0.6
NSW,Banks,"MORROW, Bruce",LP,27728,33.6
NSW,Banks,"MELHAM, Daryl",ALP,45059,54.6
NSW,Banks,"ROBERTS, Susan",GRN,4612,5.6
NSW,Banks,"CHAVURA, Stephen",CDP,3180,3.9
NSW,Barton,"MCKENZIE, Michele",GRN,6784,8.3
NSW,Barton,"SVOLOS, Chris",CDP,2465,3
NSW,Barton,"MELA, John La",LP,27425,33.5
NSW,Barton,"MCCLELLAND, Robert",ALP,45292,55.3
NSW,Bennelong,"PETERS, Lindsay",GRN,4811,5.5
NSW,Bennelong,"GOLDFINCH, Peter",AD,610,0.7
NSW,Bennelong,"LEYONHJELM, David",IND,89,0.1
NSW,Bennelong,"SPENCER, Gavin",IND,70,0.1
NSW,Bennelong,"WATERSON, Victor",ON,261,0.3
NSW,Bennelong,"MARKWELL, Lorraine",FF,289,0.3
NSW,Bennelong,"CORDINER, Graeme",IND,239,0.3
NSW,Bennelong,"ALLEN, David L",IND,123,0.1
NSW,Bennelong,"TAHIR, Yusuf",IND,97,0.1
NSW,Bennelong,"HOWARD, Hon John",LP,39551,45.5
NSW,Bennelong,"TRACANELLI, Margherita",IND,269,0.3
NSW,Bennelong,"PEEBLES, Robyn",CDP,1119,1.3
NSW,Bennelong,"MCKEW, Maxine",ALP,39408,45.3
NSW,Berowra,"ELLIS, Sam",FF,1049,1.3
NSW,Berowra,"RUDDOCK, Hon Philip",LP,44525,53.4
NSW,Berowra,"GALLAGHER, Mick",IND,1456,1.8
NSW,Berowra,"MCMURDO, Wendy",GRN,7653,9.2
NSW,Berowra,"MCFARLANE, Rob",AD,974,1.2
NSW,Berowra,"COLNAN, Michael",ALP,25563,30.7
NSW,Berowra,"LEVICK, Ray",CDP,2125,2.6
NSW,Blaxland,"KY, John",GRN,5004,6.5
NSW,Blaxland,"MAJEWSKI, Mark",LP,18665,24.1
NSW,Blaxland,"VINNICOMBE, Bob",ON,1202,1.6
NSW,Blaxland,"KENT, Gabrielle",FF,1183,1.5
NSW,Blaxland,"MCLACHLAN, Chris",CDP,1850,2.4
NSW,Blaxland,"STAVRINOS, Harry",IND,1535,2
NSW,Blaxland,"CLARE, Jason",ALP,47595,61.3
NSW,Blaxland,"BASSI, Raul",IND,522,0.7
NSW,Bradfield,"BROOKMAN, Victoria",ALP,22509,26.7
NSW,Bradfield,"NELSON, Hon Dr Brendan",LP,49817,59.1
NSW,Bradfield,"GEMMELL, Susie",GRN,9495,11.3
NSW,Bradfield,"TURNBULL, James",FF,759,0.9
NSW,Bradfield,"WISZNIEWSKI, Witold",CDP,1466,1.7
NSW,Bradfield,"BUTLER, Robert H",IND,285,0.3
NSW,Calare,"SIMPSON, David John",IND,794,1
NSW,Calare,"ALLEN, Michael",ALP,20266,24.6
NSW,Calare,"BUCKINGHAM, Jeremy",GRN,2351,2.9
NSW,Calare,"COBB, Hon John",NAT,39941,48.5
NSW,Calare,"PRIESTLEY, Gavin",IND,19035,23.1
NSW,Charlton,"ULRICH, Stuart",IND,2008,2.4
NSW,Charlton,"PRITCHARD, Suzanne",GRN,6708,8.1
NSW,Charlton,"STOW, David",IND,294,0.4
NSW,Charlton,"COOK, Terry",IND,404,0.5
NSW,Charlton,"COMBET, Greg",ALP,44156,53.1
NSW,Charlton,"PATERSON, Lindsay",LP,26353,31.7
NSW,Charlton,"BARRY, Patrick",IND,1253,1.5
NSW,Charlton,"KENDALL, Jim",CDP,2007,2.4
NSW,Chifley,"COGAN, James",IND,1069,1.3
NSW,Chifley,"JEWELL, Evan",FF,1016,1.3
NSW,Chifley,"HYLAND, Wayne",IND,484,0.6
NSW,Chifley,"VINCENT, Dave",CDP,2751,3.4
NSW,Chifley,"DIAZ, Jess",LP,19092,23.8
NSW,Chifley,"KEDWELL, Louise",ON,1183,1.5
NSW,Chifley,"TANDA, Amarjit",IND,288,0.4
NSW,Chifley,"PRICE, Hon Roger",ALP,51568,64.2
NSW,Chifley,"FORRESTER, John",GRN,2897,3.6
NSW,Cook,"STRANG, Graeme",IND,693,0.8
NSW,Cook,"KATSOULAS, Ari",FF,596,0.7
NSW,Cook,"POULOS, Patricia",IND,394,0.5
