State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"COSTA, Dominic",ALP,28219,61.7
NSW,Banks,"ROFFEY, George",LP,17536,38.3
NSW,Barton,"EVATT, Rt Hon Dr Herbert",ALP,20949,50.3
NSW,Barton,"WAKE, Nancy",LP,20706,49.7
NSW,Bennelong,"CRAMER, John",LP,24732,61.0
NSW,Bennelong,"FITZGIBBON, William",ALP,15840,39.0
NSW,Blaxland,"DENNISON, James",LP,14547,36.1
NSW,Blaxland,"HARRISON, James",ALP,25749,63.9
NSW,Bradfield,"HUGHES, Rt Hon Billy",LP,32469,78.7
NSW,Bradfield,"MILNE, Hugh",ALP,8784,21.3
NSW,Calare,"GARDINER, Archibald",IND,2067,5.5
NSW,Calare,"HOWELL, John",ALP,15141,40.1
NSW,Calare,"HOWSE, John",LP,20517,54.4
NSW,Cook,"SHEEHAN, Thomas",ALP,27637,78.1
NSW,Cook,"HATFIELD, Royston",LP,4790,13.5
NSW,Cook,"HATFIELD, Henry",CPA,2976,8.4
NSW,Cowper,"BAILEY, William",ALP,13743,37.0
NSW,Cowper,"PAGE, Rt Hon Sir Earle",CP,22632,61.0
NSW,Cowper,"TOMLINSON, William",IND,724,2.0
NSW,Cunningham,"AARONS, Eric",CPA,2466,6.2
NSW,Cunningham,"DAVIES, Billy",ALP,24433,61.7
NSW,Cunningham,"THOMPSON, Alan",LP,12674,32.0
NSW,Dalley,"LAFFIN, John",LP,12204,32.9
NSW,Dalley,"ROSEVEAR, Hon Sol",ALP,24851,67.1
NSW,Darling,"CLARK, Joseph",ALP,22610,68.8
NSW,Darling,"WHYTE, Elson",CP,10253,31.2
NSW,East Sydney,"STEWART, Alexander",LP,16767,45.1
NSW,East Sydney,"WARD, Hon Eddie",ALP,20379,54.9
NSW,Eden-Monaro,"FRASER, Allan",ALP,19574,51.0
NSW,Eden-Monaro,"KEYS, Alexander",LP,18832,49.0
NSW,Evans,"BAILEY, Robert",ALP,15467,41.4
NSW,Evans,"OSBORNE, Frederick",LP,21936,58.6
NSW,Farrer,"BYRNES, Daniel",ALP,16744,43.6
NSW,Farrer,"FAIRBAIRN, David",LP,21678,56.4
NSW,Grayndler,"DALY, Fred",ALP,28038,74.9
NSW,Grayndler,"MCCRISTAL, Timothy",IND,977,2.6
NSW,Grayndler,"SQUIRE, Royston",LP,8398,22.4
NSW,Gwydir,"FERGUSON, Norman",ALP,17147,46.8
NSW,Gwydir,"TRELOAR, Thomas",CP,19460,53.2
NSW,Hume,"ANDERSON, Charles",CP,18622,49.7
NSW,Hume,"FULLER, Arthur",ALP,18849,50.3
NSW,Hunter,"ENGLISH, Arthur",IND,2075,5.1
NSW,Hunter,"FLETCHER, Edward",LP,6810,16.9
NSW,Hunter,"JAMES, Rowland",ALP,28595,70.8
NSW,Hunter,"PHILLIPS, Evan",CPA,2927,7.2
NSW,Kingsford-Smith,"ANDERSON, Gordon",ALP,18110,50.5
NSW,Kingsford-Smith,"BUTTERELL, Arthur",LP,17784,49.5
NSW,Lang,"BOYD, Roy",CPA,1968,4.7
NSW,Lang,"BRUCE, Robert",LP,18951,45.3
NSW,Lang,"MULCAHY, Daniel",ALP,20944,50.0
NSW,Lawson,"FAILES, Laurence",CP,19819,53.0
NSW,Lawson,"MANNING, Alan",ALP,17570,47.0
NSW,Lowe,"BURTON, Dr John",ALP,16250,42.2
NSW,Lowe,"MCMAHON, William",LP,22276,57.8
NSW,Lyne,"CORDNER, Joseph",IND,1745,4.6
NSW,Lyne,"EGGINS, Jim",CP,24971,65.5
NSW,Lyne,"HAYES, Edward",ALP,11381,29.9
NSW,Macarthur,"BATE, Jeff",LP,25835,63.8
NSW,Macarthur,"MCDONNELL, William",ALP,14633,36.2
NSW,Mackellar,"SHERLEY, Thomas",ALP,15684,36.9
NSW,Mackellar,"WENTWORTH, William",LP,26832,63.1
NSW,Macquarie,"CHIFLEY, Rt Hon Ben",ALP,23136,61.8
NSW,Macquarie,"COTTON, Robert",LP,14325,38.2
NSW,Martin,"GORDON, Terence",CPA,2379,6.3
NSW,Martin,"IVEY, Malinda",IND,908,2.4
NSW,Martin,"O'CONNOR, William",ALP,20362,53.9
NSW,Martin,"READ, George",LP,14132,37.4
NSW,Mitchell,"MCCALMAN, Melville",CPA,2158,5.0
NSW,Mitchell,"WHEELER, Roy",LP,23028,53.8
NSW,Mitchell,"WHITE, Joseph",ALP,17580,41.1
NSW,New England,"DRUMMOND, Hon David",CP,21259,57.9
NSW,New England,"WILSON, William",ALP,15462,42.1
NSW,Newcastle,"AARONS, Laurence",CPA,1645,4.3
NSW,Newcastle,"STEWART, Roy",LP,13485,35.2
NSW,Newcastle,"WATKINS, David",ALP,23152,60.5
NSW,North Sydney,"JACK, William",LP,22110,58.0
NSW,North Sydney,"POWELL, Eileen",ALP,15984,42.0
NSW,Parkes,"DEIN, Adam",LP,18283,49.1
NSW,Parkes,"HAYLEN, Leslie",ALP,18964,50.9
NSW,Parramatta,"BEALE, Hon Howard",LP,26852,63.5
NSW,Parramatta,"HOLMES, John",ALP,15422,36.5
NSW,Paterson,"FAIRHALL, Allen",LP,21677,57.1
NSW,Paterson,"ROBINSON, Cecil",ALP,16312,42.9
NSW,Phillip,"FINGLETON, Leslie",LP,16913,46.6
NSW,Phillip,"FITZGERALD, Joseph",ALP,19401,53.4
NSW,Reid,"CLOUGH, James",LP,15051,33.4
NSW,Reid,"MORGAN, Charles",ALP,28115,62.4
NSW,Reid,"SHELDON, Rupert",IND,1903,4.2
NSW,Richmond,"ANTHONY, Hon Larry",CP,28034,76.3
NSW,Richmond,"BRYEN, Alexander",ALP,8718,23.7
