State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"COSTA, Dominic",ALP,24537,58.3
NSW,Banks,"FLETCHER, Howard",LP,15371,36.5
NSW,Banks,"FOY, Francis",ALPN,2202,5.2
NSW,Barton,"EVATT, Rt Hon Dr Herbert",ALP,21681,53.2
NSW,Barton,"WAKE, Nancy",LP,19037,46.8
NSW,Bennelong,"CRAMER, John",LP,23568,59.6
NSW,Bennelong,"WATT, Raymond",ALP,15952,40.4
NSW,Blaxland,"HANDRAN-SMITH, Thomas",LP,9364,23.8
NSW,Blaxland,"HARRISON, James",ALP,19403,49.3
NSW,Blaxland,"KIRBY, Roy",CPA,865,2.2
NSW,Blaxland,"LANG, Hon Jack",ALPN,9752,24.8
NSW,Bradfield,"GEE, Kenneth",ALP,8645,21.7
NSW,Bradfield,"HUGHES, Rt Hon Billy",LP,28428,71.4
NSW,Bradfield,"PRICE, Edward",IND,2764,6.9
NSW,Calare,"GIBBONS, George",ALP,16139,43.0
NSW,Calare,"HOWSE, John",LP,21399,57.0
NSW,Cook,"DAVIS, Gerald",LP,5970,16.3
NSW,Cook,"ELDRIDGE, John",ALPN,1920,5.2
NSW,Cook,"PIDCOCK, Mervyn",CPA,1276,3.5
NSW,Cook,"SHEEHAN, Thomas",ALP,27485,75.0
NSW,Cowper,"JABOUR, Dr Louis",ALP,14134,38.3
NSW,Cowper,"PAGE, Rt Hon Sir Earle",CP,22791,61.7
NSW,Cunningham,"AARONS, Eric",CPA,2854,7.6
NSW,Cunningham,"DAVIES, Billy",ALP,22795,60.7
NSW,Cunningham,"THOMSON, Alan",LP,11892,31.7
NSW,Dalley,"ROSEVEAR, Hon Sol",ALP,27501,73.0
NSW,Dalley,"SHIELDS, Charles",LP,10190,27.0
NSW,Darling,"CLARK, Joseph",ALP,20843,63.8
NSW,Darling,"CONNORS, Cecil",CPA,1017,3.1
NSW,Darling,"ROBERTS, Madge",IND,450,1.4
NSW,Darling,"WHYTE, Elson",CP,10348,31.7
NSW,East Sydney,"DALTON, William",IND,1552,3.9
NSW,East Sydney,"MANT, John",LP,15398,39.0
NSW,East Sydney,"WARD, Hon Eddie",ALP,22496,57.0
NSW,Eden-Monaro,"FRASER, Allan",ALP,19004,50.9
NSW,Eden-Monaro,"MACARTHUR-ONSLOW, Denzil",LP,18317,49.1
NSW,Evans,"NICHOLLS, Ronald",ALP,16588,43.4
NSW,Evans,"OSBORNE, Frederick",LP,21616,56.6
NSW,Farrer,"FAIRBAIRN, David",LP,14425,38.2
NSW,Farrer,"GOLLAN, William",CPA,419,1.1
NSW,Farrer,"MCGRATH, Thomas",ALP,14853,39.3
NSW,Farrer,"MACKAY, John",CP,8099,21.4
NSW,Grayndler,"CLARK, Donald",LP,11299,29.6
NSW,Grayndler,"DALY, Fred",ALP,25622,67.1
NSW,Grayndler,"MCCRISTAL, Timothy",IND,349,0.9
NSW,Grayndler,"MCPHILLIPS, Henry",CPA,920,2.4
NSW,Gwydir,"SCULLY, Hon William",ALP,16282,44.9
NSW,Gwydir,"TRELOAR, Thomas",CP,20018,55.1
NSW,Hume,"ANDERSON, Charles",CP,18871,51.0
NSW,Hume,"FULLER, Arthur",ALP,18104,49.0
NSW,Hunter,"FLETCHER, Edward",LP,8502,21.8
NSW,Hunter,"JAMES, Rowland",ALP,26704,68.6
NSW,Hunter,"PHILLIPS, Evan",CPA,3729,9.6
NSW,Kingsford-Smith,"ANDERSON, Gordon",ALP,18573,49.7
NSW,Kingsford-Smith,"CRITTENDEN, Henry",IND,1206,3.2
NSW,Kingsford-Smith,"MONCHAUX, Charles de",LP,17387,46.5
NSW,Kingsford-Smith,"PETERS, Clare",IND,221,0.6
NSW,Lang,"BOYD, Roy",CPA,1905,4.7
NSW,Lang,"MULCAHY, Daniel",ALP,20421,50.2
NSW,Lang,"WILLIS, Eric",LP,18369,45.1
NSW,Lawson,"CROFT, Elwyn",LP,9249,24.9
NSW,Lawson,"FAILES, Laurence",CP,11531,31.0
NSW,Lawson,"FERGUSON, William",IND,392,1.1
NSW,Lawson,"MANNING, Alan",ALP,15969,43.0
NSW,Lowe,"MCDONALD, Hector",ALP,15908,40.9
NSW,Lowe,"MCMAHON, William",LP,20489,52.7
NSW,Lowe,"SHORTLAND, Edith",IND,2470,6.4
NSW,Lyne,"CORDNER, Joseph",IND,1057,2.9
NSW,Lyne,"EGGINS, Jim",CP,10212,27.7
NSW,Lyne,"HAIN, Francis",CP,2296,6.2
NSW,Lyne,"HAYES, Edward",ALP,10160,27.6
NSW,Lyne,"LUCOCK, Philip",CP,6984,19.0
NSW,Lyne,"MACKAY, Eric",CP,6111,16.6
NSW,Macarthur,"BATE, Jeff",LP,25184,64.6
NSW,Macarthur,"MCDONNELL, William",ALP,13776,35.4
NSW,Mackellar,"MITCHELL, James",ALP,15314,37.4
NSW,Mackellar,"WENTWORTH, William",LP,25678,62.6
NSW,Macquarie,"CHIFLEY, Rt Hon Ben",ALP,21683,57.7
NSW,Macquarie,"COTTON, Robert",LP,14585,38.8
NSW,Macquarie,"KING, John",CPA,1320,3.5
NSW,Martin,"DOWLING, Thomas",CPA,1847,4.8
NSW,Martin,"IVEY, Malinda",IND,681,1.8
NSW,Martin,"MANN, Frederick",LP,14550,37.8
NSW,Martin,"MOSS, Frank",ALPN,808,2.1
NSW,Martin,"O'CONNOR, William",ALP,20603,53.5
NSW,Mitchell,"WHEELER, Roy",LP,23274,56.9
NSW,Mitchell,"WHITE, Joseph",ALP,17643,43.1
NSW,New England,"DRUMMOND, Hon David",CP,16159,44.3
NSW,New England,"SHAND, Donald",CP,6830,18.7
NSW,New England,"WILSON, William",ALP,13515,37.0
NSW,Newcastle,"AARONS, Laurence",CPA,1257,3.2
NSW,Newcastle,"BLAND, Grahame",IND,445,1.1
NSW,Newcastle,"QUINLAN, Harry",LP,15529,39.9
NSW,Newcastle,"WATKINS, David",ALP,21705,55.7
NSW,North Sydney,"FERGUSON, Norman",ALPN,1205,3.1
NSW,North Sydney,"HAYLEN, Leo",ALP,16094,41.7
NSW,North Sydney,"JACK, William",LP,19650,50.9
NSW,North Sydney,"WILLIAMS, Patrick",IND,1642,4.3
NSW,Parkes,"DEIN, Adam",LP,18579,48.2
NSW,Parkes,"HAYLEN, Leslie",ALP,19966,51.8
NSW,Parramatta,"BEALE, Howard",LP,25411,62.6
NSW,Parramatta,"JACKSON, Clement",ALP,15211,37.4
NSW,Paterson,"CLENDINNING, Robert",CP,2101,5.7
NSW,Paterson,"DORSMAN, Arie",CP,5293,14.2
NSW,Paterson,"FAIRHALL, Allen",LP,11189,30.1
NSW,Paterson,"MCGIRR, John",CP,3842,10.3
NSW,Paterson,"ROBINSON, Cecil",ALP,14089,37.9
NSW,Paterson,"SLATER, Ernest",CP,656,1.8
NSW,Phillip,"FITZGERALD, Joseph",ALP,19455,51.2
NSW,Phillip,"LATIMER, William",LP,16302,42.9
NSW,Phillip,"STREET, Jessie",IND,2272,6.0
NSW,Reid,"CLOUGH, James",LP,12304,29.0
NSW,Reid,"MORGAN, Charles",ALP,24607,58.1
NSW,Reid,"SHELDON, Rupert",ALPN,5467,12.9
NSW,Richmond,"ANTHONY, Hon Larry",CP,27504,75.1
NSW,Richmond,"BRYEN, Alexander",ALP,9139,24.9
NSW,Riverina,"LANGTRY, Joseph",ALP,16880,45.2
NSW,Riverina,"MITCHELL, William",CPA,560,1.5
NSW,Riverina,"ROBERTON, Hugh",CP,19904,53.3
NSW,Robertson,"DEAN, Roger",LP,21617,54.2
NSW,Robertson,"WILLIAMS, Thomas",ALP,18236,45.8
NSW,Shortland,"BOA, Alfred",IND,6423,15.9
NSW,Shortland,"DAISLEY, Harold",LP,10513,26.1
NSW,Shortland,"GRIFFITHS, Charles",ALP,21921,54.4
NSW,Shortland,"LONGWORTH, Isabel",IND,570,1.4
NSW,Shortland,"MARSHALL, Eugene",CPA,882,2.2
NSW,St George,"GRAHAM, Bruce",LP,19987,52.0
NSW,St George,"NICHOLSON, Joseph",ALP,18475,48.0
NSW,Warringah,"CHADWICK, Norman",IND,3315,8.4
NSW,Warringah,"FISHER, William",IND,8356,21.3
NSW,Warringah,"SPENDER, Hon Percy",LP,27563,70.3
NSW,Watson,"CARD, Stanley",LP,15147,38.3
NSW,Watson,"CURTIN, Daniel",ALP,19515,49.4
NSW,Watson,"FALSTEIN, Max",IND,3656,9.2
NSW,Watson,"O'REILLY, Harold",ALPN,1210,3.1
NSW,Wentworth,"HARRISON, Hon Eric",LP,28821,75.1
NSW,Wentworth,"MCKELL, William",ALP,9533,24.9
NSW,Werriwa,"LAZZARINI, Hon Hubert",ALP,24142,56.2
NSW,Werriwa,"WATSON, Raymond",LP,18787,43.8
NSW,West Sydney,"FOLEY, Horace",ALPN,8872,24.9
NSW,West Sydney,"MINOGUE, Daniel",ALP,17732,49.8
NSW,West Sydney,"MORAN, Stanley",CPA,1786,5.0
NSW,West Sydney,"MOTTERSHEAD, Basil",LP,7235,20.3
VIC,Balaclava,"DUNNE, Martin",ALP,14796,36.1
VIC,Balaclava,"WHITE, Hon Thomas",LP,26157,63.9
VIC,Ballaarat,"HYATT, Raymond",ALP,19522,49.6
VIC,Ballaarat,"PITTARD, Alan",LP,19851,50.4
VIC,Batman,"BIRD, Alan",ALP,22662,58.4
