State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"CLANCY, Patrick",CPA,3356,8.0
NSW,Banks,"COSTA, Dominic",ALP,23431,56.0
NSW,Banks,"STALKER, Harold",LP,15088,36.0
NSW,Barton,"ARTHUR, William",LP,19903,46.9
NSW,Barton,"EVATT, Rt Hon Dr Herbert",ALP,20896,49.2
NSW,Barton,"TREMBATH, Eric",IND,1655,3.9
NSW,Bennelong,"COATES, Harold",ALP,16607,39.3
NSW,Bennelong,"CRAMER, John",LP,25628,60.7
NSW,Blaxland,"ALLSOP, Reginald",LP,15371,37.5
NSW,Blaxland,"HARRISON, James",ALP,25577,62.5
NSW,Bradfield,"TURNER, Henry",IND,Unopposed,100.0
NSW,Calare,"HOWSE, John",LP,23956,61.2
NSW,Calare,"WOOD, Lionel",ALP,15189,38.8
NSW,Cowper,"PAGE, Rt Hon Sir Earle",CP,Unopposed,100.0
NSW,Cunningham,"DAVIES, Billy",ALP,25180,62.2
NSW,Cunningham,"HARKNESS, William",CPA,1931,4.8
NSW,Cunningham,"PARKINSON, John",LP,13370,33.0
NSW,Dalley,"O'CONNOR, William",ALP,28913,71.9
NSW,Dalley,"THORNTON, Ernest",CPA,2377,5.9
NSW,Dalley,"TYLER, Stanley",LP,8933,22.2
NSW,Darling,"CLARK, Joseph",ALP,23428,67.5
NSW,Darling,"MARTIN, Ewen",CP,11282,32.5
NSW,East Sydney,"BROWN, Wilton",CPA,3251,8.3
NSW,East Sydney,"LANDOR, Joseph",LP,10953,28.0
NSW,East Sydney,"WARD, Hon Eddie",ALP,24859,63.6
NSW,Eden-Monaro,"BEAVIS, Royce",IND,2113,5.3
NSW,Eden-Monaro,"FLANAGAN, Cecil",LP,16609,41.8
NSW,Eden-Monaro,"FRASER, Allan",ALP,21007,52.9
NSW,Evans,"OSBORNE, Frederick",LP,25236,60.9
NSW,Evans,"POLLARD, Sidney",ALP,16179,39.1
NSW,Farrer,"FAIRBAIRN, David",LP,25805,65.9
NSW,Farrer,"GARLAND, Robert",ALP,13361,34.1
NSW,Grayndler,"ALEXANDER, Harold",CPA,3218,8.0
NSW,Grayndler,"CHISHOLM, Ian",LP,12258,30.5
NSW,Grayndler,"DALY, Fred",ALP,24151,60.1
NSW,Grayndler,"MCCRISTAL, Timothy",IND,586,1.5
NSW,Gwydir,"ALLAN, Ian",CP,22271,57.9
NSW,Gwydir,"HEFFERNAN, Austin",ALP,16162,42.1
NSW,Hughes,"BATES, Keith",LP,19840,46.7
NSW,Hughes,"JOHNSON, Leslie",ALP,20549,48.4
NSW,Hughes,"MACKIE, Robert",IND,880,2.1
NSW,Hughes,"WATT, Alfred",CPA,1201,2.8
NSW,Hume,"ANDERSON, Charles",CP,20494,52.2
NSW,Hume,"FULLER, Arthur",ALP,18779,47.8
NSW,Hunter,"FARRELL, Edward",LP,8604,21.3
NSW,Hunter,"JAMES, Rowland",ALP,28566,70.8
NSW,Hunter,"PHILLIPS, Evan",CPA,3158,7.8
NSW,Kingsford-Smith,"CURTIN, Daniel",ALP,21647,52.7
NSW,Kingsford-Smith,"MCGIRR, John",LP,17546,42.8
NSW,Kingsford-Smith,"O'DONNELL, Hubert",IND,1850,4.5
NSW,Lang,"PEACOCK, Wallace",LP,16550,39.7
NSW,Lang,"STEWART, Frank",ALP,25175,60.3
NSW,Lawson,"FAILES, Laurence",CP,22030,56.7
NSW,Lawson,"WILLIAMSON, John",ALP,16845,43.3
NSW,Lowe,"DAVIES, Edward",ALP,16508,39.7
NSW,Lowe,"MCMAHON, Hon William",LP,25080,60.3
NSW,Lyne,"COLLINS, Herbert",ALP,14198,36.2
NSW,Lyne,"CORDNER, Joseph",IND,1555,4.0
NSW,Lyne,"LUCOCK, Philip",CP,23477,59.8
NSW,Macarthur,"ALLEN, Claude",ALP,16756,42.0
NSW,Macarthur,"BATE, Jeff",LP,23127,58.0
NSW,Mackellar,"HARDY, Frank",CPA,3087,7.5
NSW,Mackellar,"MCALPINE, Norman",ALP,12525,30.4
NSW,Mackellar,"WENTWORTH, William",LP,25553,62.1
NSW,Macquarie,"LEVEN, Norman",LP,16662,41.4
NSW,Macquarie,"LUCHETTI, Tony",ALP,22461,55.9
NSW,Macquarie,"MOFFITT, Vernon",CPA,1075,2.7
NSW,Mitchell,"BOWD, Douglas",ALP,16239,40.3
NSW,Mitchell,"WHEELER, Roy",LP,24077,59.7
NSW,New England,"COWLEY, Frederick",ALP,15511,39.6
NSW,New England,"DRUMMOND, Hon David",CP,23666,60.4
NSW,Newcastle,"CUPIT, Eric",LP,15017,37.3
NSW,Newcastle,"MONROE, Sidney",IND,522,1.3
NSW,Newcastle,"OLIVE, Douglas",CPA,879,2.2
NSW,Newcastle,"WATKINS, David",ALP,23801,59.2
NSW,North Sydney,"JACK, William",LP,25359,62.3
NSW,North Sydney,"MCNALLY, Joseph",ALP,15322,37.7
NSW,Parkes,"HAYLEN, Leslie",ALP,20895,50.7
NSW,Parkes,"SPICER, John",LP,20295,49.3
NSW,Parramatta,"BEALE, Hon Howard",LP,25854,62.3
NSW,Parramatta,"HEAZLEWOOD, John",ALP,15631,37.7
NSW,Paterson,"FAIRHALL, Allen",LP,23623,60.2
