State,Division,Candidate,Party,Votes,Percent
NSW,Barrier,"MARSHALL, George",AS,1919,25.5
NSW,Barrier,"THOMAS, Hon Josiah",ALP,5602,74.5
NSW,Calare,"BROWN, Hon Thomas",ALP,6759,50.7
NSW,Calare,"FITZPATRICK, John",AS,6565,49.3
NSW,Cook,"CATTS, James",ALP,8563,53.0
NSW,Cook,"HINDLE, John",AS,7591,47.0
NSW,Cowper,"LEE, Henry",AS,4602,41.4
NSW,Cowper,"O'BRIEN, John",ALP,399,3.6
NSW,Cowper,"RUDDER, Eugene",IND,1316,11.8
NSW,Cowper,"THOMSON, John",Prot,4794,43.1
NSW,Dalley,"HOWE, Robert",ALP,8850,47.3
NSW,Dalley,"WILKS, Hon William",AS,9863,52.7
NSW,Darling,"ACTON, Denis",AS,4626,42.1
NSW,Darling,"SPENCE, Hon William",ALP,6356,57.9
NSW,East Sydney,"REID, Rt Hon George",AS,7229,54.9
NSW,East Sydney,"WEST, John",ALP,5936,45.1
NSW,Eden-Monaro,"CHAPMAN, Hon Austin",Prot,7979,67.8
NSW,Eden-Monaro,"LONGMUIR, John",AS,3789,32.2
NSW,Gwydir,"CUNNINGHAM, Thomas",AS,6246,46.7
NSW,Gwydir,"WEBSTER, William",ALP,7118,53.3
NSW,Hume,"GIBB, James",AS,5727,38.3
NSW,Hume,"LYNE, Hon Sir William",Prot,9223,61.7
NSW,Hunter,"KEARSLEY, William",ALP,6617,49.2
NSW,Hunter,"LIDDELL, Dr Frank",AS,6843,50.8
NSW,Illawarra,"FULLER, Hon George",AS,9726,63.8
NSW,Illawarra,"HOLT, George",ALP,5528,36.2
NSW,Lang,"BENNETTS, Edward",ALP,4677,29.6
NSW,Lang,"JOHNSON, Elliot",AS,11138,70.4
NSW,Macquarie,"CARR, Ernest",ALP,7121,51.3
NSW,Macquarie,"SMITH, Hon Sydney",AS,6760,48.7
NSW,Nepean,"BOWDEN, Eric",AS,9749,60.6
NSW,Nepean,"DYER, Charles",ALP,5471,34.0
NSW,Nepean,"TAYLOR, Thomas",IND,857,5.3
NSW,New England,"FOSTER, Francis",ALP,7631,51.8
NSW,New England,"LONSDALE, Edmund",AS,7099,48.2
NSW,Newcastle,"HAWTHORNE, John",AS,5833,32.8
NSW,Newcastle,"WATKINS, Hon David",ALP,11952,67.2
NSW,North Sydney,"THOMSON, Hon Dugald",AS,Unopposed,100.0
NSW,Parkes,"SLATYER, Hampton",IND,3114,21.8
NSW,Parkes,"SMITH, Hon Bruce",AS,11178,78.2
NSW,Parramatta,"COOK, Hon Joseph",AS,Unopposed,100.0
NSW,Richmond,"EWING, Hon Thomas",Prot,6042,76.4
NSW,Richmond,"SUTTON, John",AS,1869,23.6
NSW,Riverina,"CHANTER, Hon John",Prot,6662,54.1
NSW,Riverina,"JACKSON, John",AS,5658,45.9
NSW,Robertson,"WILLIS, Hon Henry",AS,7199,57.0
NSW,Robertson,"JOHNSON, William",ALP,5441,43.0
NSW,South Sydney,"GRAHAM, Sir James",AS,8006,43.6
NSW,South Sydney,"WATSON, Hon Chris",ALP,10347,56.4
NSW,Wentworth,"DUNCAN, William",ALP,3846,26.8
NSW,Wentworth,"KELLY, William",AS,10505,73.2
NSW,Werriwa,"CONROY, Hon Alfred",AS,6818,48.2
NSW,Werriwa,"HALL, David",ALP,7316,51.8
NSW,West Sydney,"BURNS, James",AS,6056,44.5
NSW,West Sydney,"HUGHES, Hon Billy",ALP,7561,55.5
VIC,Balaclava,"HAMPSON, Alfred",ALP,3263,19.6
VIC,Balaclava,"HEWISON, Joseph",IND,5651,33.9
VIC,Balaclava,"ROBERTS, Edwards",Prot,786,4.7
VIC,Balaclava,"WYNNE, Agar",AS,6957,41.8
VIC,Ballaarat,"DEAKIN, Hon Alfred",Prot,12331,66.2
VIC,Ballaarat,"SCULLIN, James",ALP,6305,33.8
VIC,Batman,"COON, Jabez",Prot,7098,50.0
VIC,Batman,"PAINTER, Samuel",IND,330,2.3
VIC,Batman,"SOLLY, Robert",ALP,6617,46.6
VIC,Batman,"VERNON, Roy",IND,151,1.1
VIC,Bendigo,"GLASS, Thomas",ALP,8969,48.3
VIC,Bendigo,"QUICK, Hon Sir John",AS,9617,51.7
VIC,Bourke,"BEDFORD, Randolph",ALP,8016,38.9
VIC,Bourke,"HUME-COOK, Hon James",Prot,10745,52.2
VIC,Bourke,"MOLDEN, Joseph",AS,1835,8.9
VIC,Corangamite,"CAREY, Thomas",ALP,4306,25.3
VIC,Corangamite,"DUNNE, Desmond",Prot,5237,30.8
VIC,Corangamite,"WILSON, Dr Gratton",AS,7475,43.9
VIC,Corio,"CROUCH, Hon Richard",Prot,10135,55.0
VIC,Corio,"MCCAY, Hon James",AS,8288,45.0
VIC,Echuca,"KENNEDY, Hon Thomas",Prot,7624,49.9
VIC,Echuca,"PALMER, Albert",AS,7656,50.1
VIC,Fawkner,"FAIRBAIRN, George",AS,12212,60.5
VIC,Fawkner,"MILLER, John",Prot,1360,6.7
VIC,Fawkner,"SMITH, Thomas",ALP,6621,32.8
VIC,Flinders,"IRVINE, Hon William",AS,7621,51.5
VIC,Flinders,"NICHOLS, Arthur",Prot,7184,48.5
VIC,Gippsland,"MCLEAN, Hon Allan",AS,7728,49.7
VIC,Gippsland,"WISE, George",Prot,7825,50.3
VIC,Grampians,"GRAYNDLER, Edward",ALP,6013,44.2
VIC,Grampians,"IRVINE, Hans",AS,7598,55.8
VIC,Indi,"BROWN, Joseph",AS,6801,44.4
VIC,Indi,"MCINERNEY, Thomas",Prot,2546,16.6
VIC,Indi,"TURNBULL, Daniel",ALP,5986,39.0
VIC,Kooyong,"BARBOUR, Robert",Prot,7093,34.7
VIC,Kooyong,"HODGES, Edward",ALP,1358,6.6
VIC,Kooyong,"KNOX, Hon William",AS,12018,58.7
VIC,Laanecoorie,"GROSE, Walter",AS,4206,30.3
VIC,Laanecoorie,"ROWE, William",ALP,4466,32.2
VIC,Laanecoorie,"SALMON, Hon Dr Charles",Prot,5204,37.5
VIC,Maribyrnong,"DAVIDSON, Clement",ALP,8407,43.1
VIC,Maribyrnong,"MAUGER, Hon Samuel",Prot,11109,56.9
VIC,Melbourne,"LORMER, William",AS,6056,39.6
VIC,Melbourne,"MALONEY, Dr William",ALP,9228,60.4
VIC,Melbourne Ports,"JAMES, Cyril",IND,802,4.8
VIC,Melbourne Ports,"MATHEWS, James",ALP,6813,40.6
VIC,Melbourne Ports,"RONALD, Hon James",IND,3215,19.2
VIC,Melbourne Ports,"WATTS, Edward",Prot,5932,35.4
