State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"IACONO, Stephen",LP,24744,33.8
NSW,Banks,"MADDISON, Phillip",ON,8010,10.9
NSW,Banks,"CHEN, Bill",IND,2250,3.1
NSW,Banks,"ARCHER, Greg",GRN,1075,1.5
NSW,Banks,"BAILEY, Alison",AD,3128,4.3
NSW,Banks,"MELHAM, Daryl",ALP,32599,44.5
NSW,Banks,"GRIGG, Brian",CDP,1422,1.9
NSW,Barton,"MCCLELLAND, Robert",ALP,37382,49.6
NSW,Barton,"TANG, Lin",IND,3182,4.2
NSW,Barton,"NELSON, Adam",GRN,1161,1.5
NSW,Barton,"JORDAN, James",LP,26430,35.1
NSW,Barton,"BAIRD, Neil",ON,5162,6.8
NSW,Barton,"CHUNG, Craig",AD,2028,2.7
NSW,Bennelong,"PARKER, Jamie",GRN,2306,3.1
NSW,Bennelong,"KING, Gordon",ON,3099,4.1
NSW,Bennelong,"HOWARD, Hon John",LP,36976,49.2
NSW,Bennelong,"DROULERS, Julien",IND,128,0.2
NSW,Bennelong,"LUNG, David",IND,1319,1.8
NSW,Bennelong,"CARR, Tim",IND,123,0.2
NSW,Bennelong,"AUSSIE-STONE, Marcus",IND,71,0.1
NSW,Bennelong,"SPRINGETT, Bob",AD,3504,4.7
NSW,Bennelong,"PISS, Prime",IND,183,0.2
NSW,Bennelong,"KEMP, Sarah",IND,2923,3.9
NSW,Bennelong,"GOLLAN, William",IND,341,0.5
NSW,Bennelong,"DAWSON, John",IND,186,0.2
NSW,Bennelong,"MAHON, Wendy",ALP,23929,31.9
NSW,Berowra,"STEWART, Wayne",ON,4788,6.0
NSW,Berowra,"TEUBEN, Bernard",AD,5255,6.6
NSW,Berowra,"RUDDOCK, Hon Philip",LP,43180,54.4
NSW,Berowra,"NANNELLI, Owen",CDP,1893,2.4
NSW,Berowra,"BURKE, Andrew",GRN,2561,3.2
NSW,Berowra,"MCCARROLL, Nola",ALP,21763,27.4
NSW,Blaxland,"HATTON, Michael",ALP,44096,61.4
NSW,Blaxland,"HUA, Matthew",AD,1733,2.4
NSW,Blaxland,"LAURENCE, Kylie",CDP,1623,2.3
NSW,Blaxland,"DONNELLY, Benjamin",GRN,1107,1.5
NSW,Blaxland,"SHELLEY, Maureen",LP,15649,21.8
NSW,Blaxland,"ABOU-GHAIDA, Hussein",ON,5052,7.0
NSW,Blaxland,"HASSAPIS, Harold",IND,2536,3.5
NSW,Bradfield,"KIELY, Alexandra",IND,412,0.6
NSW,Bradfield,"NELSON, Dr Brendan",LP,47725,64.4
NSW,Bradfield,"WEBECK, Robert",ON,2832,3.8
NSW,Bradfield,"ALLAS, Marc",GRN,2218,3.0
NSW,Bradfield,"RATCLIFFE, Margaret",CDP,1228,1.7
NSW,Bradfield,"KAILAINATHAN, Nadesu",ALP,13937,18.8
NSW,Bradfield,"MORRIS, Carmel",AD,5791,7.8
NSW,Calare,"GLEESON, Martin",ON,7954,10.9
NSW,Calare,"ANDREN, Peter",IND,29522,40.5
NSW,Calare,"SLOAN, Garry",LP,7640,10.5
NSW,Calare,"LAMBERT, Joan",GRN,676,0.9
NSW,Calare,"BLUME, Rod",NPA,8556,11.8
NSW,Calare,"SAUL, Ben",AD,581,0.8
NSW,Calare,"SIMPSON, David",IND,168,0.2
NSW,Calare,"CORKIN, Terence",ALP,17425,23.9
NSW,Calare,"EDWARDS, Nelle",IND,290,0.4
NSW,Charlton,"YOUNG, Pamela",ON,9664,12.0
NSW,Charlton,"GOURLAY, Ralph",CDP,2494,3.1
NSW,Charlton,"ROSS, Nathan",GRN,2679,3.3
NSW,Charlton,"BISGROVE, Stephen",AD,3689,4.6
NSW,Charlton,"HOARE, Kelly",ALP,39604,49.3
NSW,Charlton,"GATGENS, Bruce",LP,22175,27.6
NSW,Chifley,"ANDREW, Owen",AD,3595,4.9
NSW,Chifley,"WYNESS, Joseph",CDP,1520,2.1
NSW,Chifley,"VINCENT, Dave",IND,761,1.0
NSW,Chifley,"NOLAN, Robert",GRN,1014,1.4
NSW,Chifley,"COLES, John",LP,14485,19.7
NSW,Chifley,"PRICE, Hon Roger",ALP,43496,59.3
NSW,Chifley,"DAMJANOVIC, Joe",ON,7400,10.1
NSW,Chifley,"RAZAVIKASHAN, Zahra",IND,162,0.2
NSW,Chifley,"PIO, Aooe",IND,969,1.3
NSW,Cook,"ABDURAHMAN, Zanthe",IND,1103,1.5
NSW,Cook,"BAIRD, Hon Bruce",LP,37075,50.2
NSW,Cook,"RICHARDSON, Terri",AD,3147,4.3
NSW,Cook,"KAYE, John",GRN,1556,2.1
NSW,Cook,"YOUNG, Peri",ALP,22850,30.9
NSW,Cook,"BOEHM, Darren",IND,997,1.3
NSW,Cook,"SMITH, Malcolm",CDP,948,1.3
NSW,Cook,"KIMBERLEY, Gareth",ON,6144,8.3
NSW,Cowper,"CRANNY, Jillian",GRN,2960,4.0
NSW,Cowper,"SEKFY, Paul",ALP,24213,33.0
NSW,Cowper,"WILLEY, John",ON,11234,15.3
NSW,Cowper,"CORBEN, Paul",AD,2570,3.5
NSW,Cowper,"NEHL, Garry",NPA,30810,42.0
NSW,Cowper,"SPENCER, Mark",IND,1550,2.1
NSW,Cunningham,"CURTIS, John",ON,5378,7.6
NSW,Cunningham,"PERROTT, Margaret",IND,663,0.9
NSW,Cunningham,"COLUCCIO, Frank",IND,515,0.7
NSW,Cunningham,"ROBINSON, Les",GRN,3158,4.4
NSW,Cunningham,"IVANEZA, Stephen",AD,4108,5.8
NSW,Cunningham,"HORN, Jennifer van der",IND,550,0.8
NSW,Cunningham,"MARTIN, Hon Stephen",ALP,37592,52.9
NSW,Cunningham,"AKHURST, Alan",LP,17285,24.3
NSW,Cunningham,"O'NEILL, Robert",CDP,1755,2.5
NSW,Dobell,"LEE, Hon Michael",ALP,34770,45.3
NSW,Dobell,"RUSSELL, Karen",CDP,1564,2.0
NSW,Dobell,"BECKETT, June",ON,7301,9.5
NSW,Dobell,"PARKER, David",LP,29103,37.8
NSW,Dobell,"MOTT, David",AD,2547,3.3
NSW,Dobell,"DWYER, Philip",GRN,1625,2.1
NSW,Eden-Monaro,"NAIRN, Gary",LP,31654,43.2
NSW,Eden-Monaro,"WHAN, Steve",ALP,28692,39.2
NSW,Eden-Monaro,"MCMILLAN, Dan",AD,3343,4.6
NSW,Eden-Monaro,"MILLER, Adam",ON,7004,9.6
NSW,Eden-Monaro,"BEAUMONT, Rosemary",GRN,2301,3.1
NSW,Eden-Monaro,"HARRIOTT, Gordon",IND,188,0.3
NSW,Farrer,"VOSS, Vivien",ALP,16489,23.8
NSW,Farrer,"FISCHER, Hon Tim",NPA,36602,52.9
NSW,Farrer,"SHARP, Rohan",AD,2940,4.2
NSW,Farrer,"FURLAN, Maurice",IND,240,0.3
NSW,Farrer,"BOYD, Alan",IND,329,0.5
NSW,Farrer,"MCKINNON, Donald",ON,9664,14.0
NSW,Farrer,"DUNCAN-STRELEC, Amanda",IND,2234,3.2
NSW,Farrer,"BRODERICK, Cliff",IND,728,1.0
NSW,Fowler,"IRWIN, Julia",ALP,49472,61.7
NSW,Fowler,"DOONER, Lorna",LP,13705,17.1
NSW,Fowler,"SU, Andrew",IND,8532,10.6
NSW,Fowler,"SMITH, Rodney",ON,5886,7.3
NSW,Fowler,"STEVENS, Mark",AD,2603,3.2
NSW,Gilmore,"RYAN, Steve",CDP,1481,2.0
NSW,Gilmore,"GASH, Joanna",LP,33390,45.1
NSW,Gilmore,"FRASER, Peter",AD,2444,3.3
NSW,Gilmore,"BANGE, Jane",GRN,2020,2.7
NSW,Gilmore,"MCCARTHY, Sandra",ALP,26509,35.8
NSW,Gilmore,"DELL, Thomas",ON,8206,11.1
NSW,Grayndler,"ARMANI, Michael",LP,15628,20.7
NSW,Grayndler,"HALE, Sylvia",IND,2816,3.7
NSW,Grayndler,"ROBERTS, Sean",GRN,3373,4.5
NSW,Grayndler,"CUMMINGS, Katherine",AD,4301,5.7
